what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.engine,2.0.1.R36x_v20110201,"org.eclipse.equinox.p2.engine",1328694451841
started,bundle,org.eclipse.equinox.p2.metadata,2.0.1.R36x_v20101202,"org.eclipse.equinox.p2.metadata",1328694451852
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1328694451864
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1328694451877
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.2.R36x_v20110114,"org.eclipse.equinox.p2.reconciler.dropins",1328694451895
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,"org.eclipse.equinox.p2.repository",1328694451902
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1328694451917
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1328694451931
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1328694451943
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1328694451950
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1328694451978
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1328694451985
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1328694451995
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1328694452008
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1328694452017
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1328694452041
started,bundle,org.eclipse.jem.util,2.1.3.v201012070000,"org.eclipse.jem.util",1328694452055
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1328694452059
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1328694452080
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1328694452117
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice.ui",1328694452130
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1328694452142
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1328694452159
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1328694452176
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1328694452193
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1328694452209
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1328694452221
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1328694452231
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1328694452236
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1328694452247
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1328694452261
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1328694452261
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1328694452268
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1328694452281
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1328694452295
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1328694452311
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1328694452326
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1328694452334
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1328694452344
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1328694452354
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1328694452354
started,bundle,org.eclipse.cdt.core,5.2.1.201102110609,"org.eclipse.cdt.core",1328694452378
started,bundle,org.eclipse.cdt.core.tests,5.2.1.201102110609,"org.eclipse.cdt.core.tests",1328694452391
started,bundle,org.eclipse.cdt.make.core,7.0.1.201102110609,"org.eclipse.cdt.make.core",1328694452411
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui",1328694452430
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.2.201102110609,"org.eclipse.cdt.managedbuilder.core",1328694452449
started,bundle,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui",1328694452462
started,bundle,org.eclipse.cdt.ui.tests,5.1.1.201102110609,"org.eclipse.cdt.ui.tests",1328694452497
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1328694452508
started,bundle,org.eclipse.jst.j2ee.ui,1.1.405.v201104141600,"org.eclipse.jst.j2ee.ui",1328694452525
started,bundle,com.aptana.core,3.0.4.1316811753,"com.aptana.core",1328694452540
started,bundle,com.aptana.core.io,3.0.3.1314315087,"com.aptana.core.io",1328694452552
started,bundle,com.aptana.deploy,3.0.3.1316717271,"com.aptana.deploy",1328694452563
started,bundle,com.aptana.editor.php.epl,3.0.0.1319152896,"com.aptana.editor.php.epl",1328694452573
started,bundle,com.aptana.explorer,3.0.0.1316717122,"com.aptana.explorer",1328694452579
started,bundle,com.aptana.filewatcher,3.0.1.1310677468,"com.aptana.filewatcher",1328694452591
started,bundle,com.aptana.git.core,3.0.0.1316121758,"com.aptana.git.core",1328694452652
started,bundle,com.aptana.git.ui,3.0.3.1316207015,"com.aptana.git.ui",1328694452670
started,bundle,com.aptana.syncing.core,3.0.0.1308864319,"com.aptana.syncing.core",1328694452686
started,bundle,com.aptana.syncing.ui,3.0.3.1314828554,"com.aptana.syncing.ui",1328694452695
started,bundle,com.aptana.ui,3.0.3.1314215016,"com.aptana.ui",1328694452708
started,bundle,com.aptana.ui.io,3.0.0.1316802113,"com.aptana.ui.io",1328694452715
started,bundle,com.python.pydev.analysis,2.2.2.2011100512,"com.python.pydev.analysis",1328694452753
started,bundle,org.python.pydev,2.2.2.2011100512,"org.python.pydev",1328694452762
started,bundle,org.python.pydev.core,2.2.2.2011100512,"org.python.pydev.core",1328694452770
started,bundle,org.eclipse.egit.core,1.2.0.201112221803-r,"org.eclipse.egit.core",1328694452788
started,bundle,org.eclipse.egit.ui,1.2.0.201112221803-r,"org.eclipse.egit.ui",1328694452815
started,bundle,org.eclipse.jgit,1.2.0.201112221803-r,"org.eclipse.jgit",1328694452816
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.4.v20111106-0100,"org.eclipse.mylyn.bugzilla.core",1328694452827
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1328694452841
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1328694452856
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1328694452856
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1328694452871
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1328694452883
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1328694452890
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1328694452902
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.4.v20111117-0100,"org.eclipse.mylyn.tasks.ui",1328694452917
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.4.v201106210700,"org.eclipse.wst.common.emfworkbench.integration",1328694452938
started,bundle,org.eclipse.wst.common.frameworks,1.2.1.v201107271600,"org.eclipse.wst.common.frameworks",1328694452951
os,sysinfo,,,"macosx",1328694452954
arch,sysinfo,,,"x86_64",1328694452954
ws,sysinfo,,,"cocoa",1328694452954
locale,sysinfo,,,"de_DE",1328694452954
processors,sysinfo,,,"2",1328694452954
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1328694452954
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-10M3527",1328694452954
java.specification.name,sysinfo,,,"Java Platform API Specification",1328694452954
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1328694452954
java.specification.version,sysinfo,,,"1.6",1328694452954
java.vendor,sysinfo,,,"Apple Inc.",1328694452954
java.version,sysinfo,,,"1.6.0_29",1328694452954
java.vm.info,sysinfo,,,"mixed mode",1328694452954
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1328694452954
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1328694452954
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1328694452954
java.vm.specification.version,sysinfo,,,"1.0",1328694452954
java.vm.vendor,sysinfo,,,"Apple Inc.",1328694452954
java.vm.version,sysinfo,,,"20.4-b02-402",1328694452954
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1328694453046
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1328694453154
started,bundle,org.eclipse.cdt.codan.ui.cxx,1.0.0.201102110609,"org.eclipse.cdt.codan.ui.cxx",1328694453179
started,bundle,org.eclipse.cdt.scripting,1.0.0.201102110609,"org.eclipse.cdt.scripting",1328694453541
started,bundle,org.eclipse.wb.core.lib,0.9.0.r36x201105061148,"org.eclipse.wb.core.lib",1328694453912
started,bundle,org.eclipse.wb.core,0.9.0.r36x201105061148,"org.eclipse.wb.core",1328694454011
started,bundle,com.google.gdt.eclipse.designer,2.3.1.r36x201105061255,"com.google.gdt.eclipse.designer",1328694454069
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1328694454162
started,bundle,com.google.gdt.eclipse.designer.GXT,2.3.1.r36x201105061304,"com.google.gdt.eclipse.designer.GXT",1328694454208
started,bundle,com.google.gdt.eclipse.designer.SmartGWT,2.3.1.r36x201105061304,"com.google.gdt.eclipse.designer.SmartGWT",1328694454224
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.3.1.r36x201105061255,"com.google.gdt.eclipse.designer.UiBinder",1328694454236
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201102110609,"org.eclipse.cdt.codan.core.cxx",1328694454272
started,bundle,org.eclipse.cdt.codan.core,1.0.0.201102110609,"org.eclipse.cdt.codan.core",1328694454276
started,bundle,com.google.gdt.eclipse.designer.usageprofiler,2.3.1.r36x201105061304,"com.google.gdt.eclipse.designer.usageprofiler",1328694454302
started,bundle,com.google.gdt.eclipse.designer.usageprofiler.ui,2.3.1.r36x201105061304,"com.google.gdt.eclipse.designer.usageprofiler.ui",1328694454313
started,bundle,org.eclipse.wb.rcp,0.9.0.r36x201105051045,"org.eclipse.wb.rcp",1328694454865
started,bundle,org.eclipse.wb.swt,0.9.0.r36x201105061245,"org.eclipse.wb.swt",1328694454939
started,bundle,org.eclipse.wb.swing,0.9.0.r36x201105061217,"org.eclipse.wb.swing",1328694455091
started,bundle,org.eclipse.wb.core.xml,0.9.0.r36x201105061154,"org.eclipse.wb.core.xml",1328694455377
started,bundle,org.eclipse.wb.discovery.core,0.9.0.r36x201105061153,"org.eclipse.wb.discovery.core",1328694455452
started,bundle,com.aptana.theme,3.0.0.1314215021,"com.aptana.theme",1328694459563
started,bundle,org.eclipse.wb.discovery.ui,0.9.0.r36x201105061153,"org.eclipse.wb.discovery.ui",1328694461400
started,bundle,com.aptana.portal.ui,3.0.0.1316445268,"com.aptana.portal.ui",1328694461421
started,bundle,com.aptana.scripting,3.0.0.1319572975,"com.aptana.scripting",1328694461496
started,bundle,com.aptana.scripting.ui,3.0.0.1311950158,"com.aptana.scripting.ui",1328694461546
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1328694461550
started,bundle,com.aptana.usage,3.0.0.1319572975,"com.aptana.usage",1328694462025
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1328694462195
started,bundle,org.python.pydev.red_core,2.2.2.2011100512,"org.python.pydev.red_core",1328694462786
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1328694462899
started,bundle,org.eclipse.wst.sse.core,1.1.506.v201110201853,"org.eclipse.wst.sse.core",1328694463698
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1328694463829
error,log,,,"DDMS files not found: /Applications/eclipse/Eclipse.app/Contents/MacOS/platform-tools/adb /Applications/eclipse/Eclipse.app/Contents/MacOS/tools/hprof-conv /Applications/eclipse/Eclipse.app/Contents/MacOS/tools/traceview ",1328694464056
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1328694464062
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1328694464430
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1328694465034
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1328694465288
started,bundle,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser",1328694466450
started,bundle,com.aptana.browser,3.0.0.1311379722,"com.aptana.browser",1328694466773
started,bundle,com.aptana.configurations,3.0.3.1310755723,"com.aptana.configurations",1328694466814
opened,editor,com.aptana.portal.ui,3.0.0.1316445268,"com.aptana.portal.ui.browser.startPage",1328694466826
started,bundle,com.aptana.preview,3.0.0.1309394487,"com.aptana.preview",1328694466940
activated,editor,com.aptana.portal.ui,3.0.0.1316445268,"com.aptana.portal.ui.browser.startPage",1328694466970
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1328694467322
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1328694468093
started,bundle,com.aptana.console,3.0.0.1311641900,"com.aptana.console",1328694468094
started,bundle,org.python.pydev.debug,2.2.2.2011100512,"org.python.pydev.debug",1328694468208
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1328694468599
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328694474654
started,bundle,com.aptana.core.epl,3.0.0.1308864319,"com.aptana.core.epl",1328694475237
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1328694475756
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1328694475763
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1328694476791
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1328694476811
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1328694476850
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1328694476923
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1328694476996
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1328694477022
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1328694477027
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1328694477059
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1328694477070
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1328694477104
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1328694477123
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1328694477153
